No,Site_ID,Site,Lat,Long,Date,Time,Monitor_ID,Monitor,Participants,Weather,Land Use,Turbidity_NTU,WaterTemp_C,DissolvedOxygen_ppm,pH,AirTemp_C,Salinity_ppt,Nitrates_ppm,Litter_lbs,Most_Abundant_Litter,Most_Abundant_Species,Species_Found,Wind_Speed_mph,Wind_Direction
35,3,Fort De Soto East Beach,27.624233,-82.707601,10/9/12,11:15:00 AM,5006,Skyview Elementary School,24,CLEAR,PARK,8.3,23.4,7.2,8.26,28.1,,,,,,,,
36,3,Fort De Soto East Beach,27.624233,-82.707601,10/9/12,12:00:00 PM,5006,Skyview Elementary School,25,CLEAR,PARK,12,28.8,8,8.33,28.6,,,28,,,,,
37,1,Coquina Bayside,27.448247,-82.68879,10/10/12,12:40:00 PM,102,Bashaw Elementary School,28,CLEAR,PARK,5,29.1,11.7,8.49,29,,,,,,,,
38,1,Coquina Bayside,27.448247,-82.68879,10/10/12,1:45:00 PM,102,Bashaw Elementary School,25,CLEAR,PARK,12.5,28.6,10.8,8.53,29,,,32,,,,,
39,1,Coquina Bayside,27.448247,-82.68879,10/11/12,12:15:00 PM,102,Bashaw Elementary School,28,CLEAR,PARK,23.2,27.2,10.9,8.55,26.1,,,41,,,,,
40,1,Coquina Bayside,27.448247,-82.68879,10/11/12,1:40:00 PM,102,Bashaw Elementary School,15,CLEAR,PARK,62,25,10.1,8.42,25,,,,,,,,
41,3,Fort De Soto East Beach,27.624233,-82.707601,10/22/12,11:00:00 AM,5014,Westgate Elementary School,23,CLEAR,PARK,22,23.2,7,8.48,25,,,,,,,,
42,3,Fort De Soto East Beach,27.624233,-82.707601,10/22/12,12:45:00 PM,5014,Westgate Elementary School,22,CLEAR,PARK,10.1,25,6.9,8.4,27.2,,,15,,,,,
43,3,Fort De Soto East Beach,27.624233,-82.707601,10/23/12,11:15:00 AM,5014,Westgate Elementary School,20,CLEAR,PARK,14.9,24.2,7.5,8.52,27.8,,,,,,,,
44,3,Fort De Soto East Beach,27.624233,-82.707601,10/23/12,1:00:00 PM,5014,Westgate Elementary School,21,CLEAR,PARK,9.2,25.6,7.2,8.53,27.8,,,5.5,,,,,
45,3,Fort De Soto East Beach,27.624233,-82.707601,10/25/12,10:00:00 AM,99,Nature's Academy,22,CLEAR,PARK,33.2,24.7,7.4,8.47,25.5,,,24,,,,,
46,3,Fort De Soto East Beach,27.624233,-82.707601,11/2/12,11:40:00 AM,201,Belcher Elementary School,33,CLEAR,PARK,11.7,21.2,,8.31,22.7,,,,,,,,
47,3,Fort De Soto East Beach,27.624233,-82.707601,11/2/12,1:00:00 PM,201,Belcher Elementary School,34,CLEAR,PARK,16.7,22.1,8.9,8.35,23.7,,,13,,,,,
48,3,Fort De Soto East Beach,27.624233,-82.707601,11/5/12,10:15:00 AM,202,Cross Bayou Elementary School,25,CLOUDY,PARK,7.8,22.3,6.9,8.26,24.7,,,,,,,,
49,3,Fort De Soto East Beach,27.624233,-82.707601,11/5/12,11:45:00 AM,202,Cross Bayou Elementary School,20,CLOUDY,PARK,2.3,22.7,7.7,8.24,24.7,,,32,,,,,
50,3,Fort De Soto East Beach,27.624233,-82.707601,11/6/12,10:40:00 AM,202,Cross Bayou Elementary School,18,RAIN MEASURABLE,PARK,35.5,19.6,7.4,8.33,26.7,,,,,,,,
51,3,Fort De Soto East Beach,27.624233,-82.707601,11/6/12,12:15:00 PM,202,Cross Bayou Elementary School,19,CLOUDY,PARK,28.5,20.7,8,8.4,22,,,12,,,,,
52,3,Fort De Soto East Beach,27.624233,-82.707601,11/7/12,11:15:00 AM,8,Pasadena Fundamental School,46,CLOUDY,PARK,41.3,19.5,6.2,8.36,19.8,,,,,,,,
53,3,Fort De Soto East Beach,27.624233,-82.707601,11/7/12,12:00:00 PM,8,Pasadena Fundamental School,40,CLOUDY,PARK,80,18.6,7.1,8.34,19.8,,,7,,,,,
54,3,Fort De Soto East Beach,27.624233,-82.707601,11/13/12,11:15:00 AM,39,Eisenhower Elementary School,35,CLOUDY,PARK,3.1,23.2,7.8,8.38,25.5,,,,,,,,
55,3,Fort De Soto East Beach,27.624233,-82.707601,11/13/12,12:00:00 PM,39,Eisenhower Elementary School,35,CLOUDY,PARK,6.8,23.6,8.2,8.36,24.4,,,8.5,,,,,
56,3,Fort De Soto East Beach,27.624233,-82.707601,11/27/12,11:30:00 AM,5008,Madeira Beach Fundamental School,44,CLEAR,PARK,34.2,19.6,8.9,8.4,21.9,,,,,,,,
57,3,Fort De Soto East Beach,27.624233,-82.707601,11/27/12,12:00:00 PM,5008,Madeira Beach Fundamental School,44,CLEAR,PARK,19.2,20.2,8.5,8.39,23.3,,,9.5,,,,,
58,1,Coquina Bayside,27.448247,-82.68879,11/29/12,11:45:00 AM,119,Daughtery Elementary School,18,CLEAR,PARK,16.9,20.5,11.6,8.68,21.4,,,,,,,,
59,1,Coquina Bayside,27.448247,-82.68879,11/29/12,12:30:00 PM,119,Daughtery Elementary School,18,CLEAR,PARK,15.3,20.5,10.1,8.65,22.7,,,28,,,,,
60,1,Coquina Bayside,27.448247,-82.68879,11/30/12,12:00:00 PM,119,Daughtery Elementary School,34,CLEAR,PARK,,22.4,9.1,8.77,23.3,,,,,,,,
61,1,Coquina Bayside,27.448247,-82.68879,11/30/12,12:30:00 PM,119,Daughtery Elementary School,34,CLEAR,PARK,,22,9.4,8.8,23.9,,,34,,,,,
62,3,Fort De Soto East Beach,27.624233,-82.707601,12/3/12,12:00:00 PM,51,Frontier Middle School,24,CLEAR,PARK,29,22.8,8,8.37,24.7,,,,,,,,
63,3,Fort De Soto East Beach,27.624233,-82.707601,12/3/12,12:30:00 PM,51,Frontier Middle School,26,CLEAR,PARK,25.2,23.5,7.7,8.36,25.2,,,9,,,,,
64,3,Fort De Soto East Beach,27.624233,-82.707601,12/4/12,12:00:00 PM,51,Frontier Middle School,22,CLEAR,PARK,14.5,21.9,6.7,8.3,23.8,,,,,,,,
65,3,Fort De Soto East Beach,27.624233,-82.707601,12/4/12,12:30:00 PM,51,Frontier Middle School,24,CLEAR,PARK,15.6,22.5,5.9,8.35,25.4,,,6,,,,,
66,4,Myakka River State Park,27.264133,-82.288457,12/10/12,10:10:00 AM,41,Suncoast Polytechnical High School,30,CLOUDY,PARK,35.9,23.4,2.8,6.87,24.8,,,,,,,,
67,4,Myakka River State Park,27.264133,-82.288457,12/11/12,10:20:00 AM,41,Suncoast Polytechnical High School,30,RAIN MEASURABLE,PARK,22.8,24.2,4.5,6.5,25,,,,,,,,
68,3,Fort De Soto East Beach,27.624233,-82.707601,2/19/13,2:30:00 PM,3,WS HAB,,CLEAR,PARK,20.4,20.6,11,8.45,22.6,35.7,73,,,,13,15,
69,3,Fort De Soto East Beach,27.624233,-82.707601,3/3/13,1:40:00 PM,3,WS HAB,,CLEAR,PARK,106.4,16,9.2,8.2,14.2,32.3,37.6,,,,,15,
70,3,Fort De Soto East Beach,27.624233,-82.707601,3/5/13,12:10:00 PM,45,Ozona Elementary School,,CLEAR,PARK,11.3,17.8,10.04,8.46,19.6,32,22.05,,,,13,10,
71,3,Fort De Soto East Beach,27.624233,-82.707601,3/5/13,1:30:00 PM,45,Ozona Elementary School,,CLEAR,PARK,5.3,18.3,10.1,8.43,20.3,31.6,23.9,,,,8,5,
72,1,Coquina Bayside,27.448247,-82.68879,3/7/13,1:18:00 PM,46,Manatee School for the Arts,,CLEAR,PARK,,17,7.2,8.49,14.7,33.3,29.4,5,,,9,10,
73,1,Coquina Bayside,27.448247,-82.68879,3/7/13,1:55:00 PM,46,Manatee School for the Arts,,CLEAR,PARK,14.9,18.3,6.7,8.51,13.4,33.6,,,,,10,10,
74,1,Coquina Bayside,27.448247,-82.68879,3/7/13,12:50:00 PM,46,Manatee School for the Arts,,CLEAR,PARK,42,15.5,7.6,7.13,12.5,33.3,45.5,,,,18,5,
75,1,Coquina Bayside,27.448247,-82.68879,3/8/13,1:05:00 PM,46,Manatee School for the Arts,,CLEAR,PARK,18.8,20.9,13.3,8.74,18.6,33,9.4,,,,18,10,
76,1,Coquina Bayside,27.448247,-82.68879,3/8/13,1:05:00 PM,46,Manatee School for the Arts,,CLEAR,PARK,29.1,19.1,12.7,8.34,18.1,33.6,18.4,,,,15,10,
77,3,Fort De Soto East Beach,27.624233,-82.707601,3/18/13,12:10:00 PM,9,New Heights Elementary,,CLOUDY,PARK,22.5,19.1,7.1,8.48,21.1,32.1,30.7,,,,9,15,
78,3,Fort De Soto East Beach,27.624233,-82.707601,3/19/13,1:04:00 PM,9,New Heights Elementary,,CLEAR,PARK,10.8,21.6,7.3,8.11,24.1,32.9,39.2,,,,9,3,
79,3,Fort De Soto East Beach,27.624233,-82.707601,3/19/13,,9,New Heights Elementary,,CLEAR,PARK,10.8,20.6,7,8.49,21.1,32.2,29.6,,,,15,3,
80,3,Fort De Soto East Beach,27.624233,-82.707601,3/22/13,1:50:00 PM,10,Discovery Academy or Lake Alfred,,CLEAR,PARK,8.5,18.6,9.4,8.47,20.9,32,40.6,,,,17,10,
81,3,Fort De Soto East Beach,27.624233,-82.707601,3/27/13,10:45:00 AM,3,WS HAB,,CLEAR,PARK,0.7,15.5,8.2,8.52,12.3,31.5,34.6,,METAL,5,19,10,
82,3,Fort De Soto East Beach,27.624233,-82.707601,4/3/13,11:45:00 AM,3,WS HAB,,PARTLY CLOUDY,PARK,22,23,6.3,8.3,24.6,32.3,5.5,,,,8,10,
83,3,Fort De Soto East Beach,27.624233,-82.707601,4/5/13,12:00:00 PM,11,The King's Academy,,CLEAR,PARK,19.5,21.3,8.1,8.3,24.8,31.5,9,,,,12,15,
84,3,Fort De Soto East Beach,27.624233,-82.707601,4/5/13,11:30:00 AM,11,The King's Academy,,CLEAR,PARK,0,20.6,8.3,8.4,22.3,32.1,12.6,,,,10,15,
85,4,Myakka River,27.264133,-82.288457,4/16/13,2:00:00 PM,13,Tampa Day School,,,PARK,11.5,28.1,4.2,6.86,30.6,0.3,1.8,,,,,,
86,3,Fort De Soto East Beach,27.624233,-82.707601,4/17/13,1:30:00 PM,13,Tampa Day School,,,PARK,14.7,26.4,9.2,8.3,29.3,31.4,55.3,,,,15,,
87,7,Rainbow River,29.086979,-82.428682,4/18/13,2:00:00 PM,13,Tampa Day School,,PARTLY CLOUDY,PARK,2.6,23.9,9.3,8.2,27.3,0.2,2.3,,,,,,NNE
88,7,Rainbow River,29.086979,-82.428682,4/18/13,2:00:00 PM,13,Tampa Day School,,,PARK,0.8,24.1,10.7,6.53,28.8,0.2,4.8,,,,,,
89,6,Crystal River,28.895042,-82.595045,4/24/13,8:35:00 AM,14,Montgomery,,PARTLY CLOUDY,RESIDENTIAL,18.2,22.7,6.6,8.1,23.8,0.7,2.7,,,,,5,
90,7,Rainbow River,29.086979,-82.428682,4/24/13,2:00:00 PM,14,Montgomery,,PARTLY CLOUDY,PARK,2.6,23.9,9.3,8.2,27.3,0.2,2.3,,,,,5,
91,3,Fort De Soto East Beach,27.624233,-82.707601,4/25/13,1:05:00 PM,14,Montgomery,,CLEAR,PARK,7.3,27.8,7.8,8.54,28.3,30.7,55,,,,17,7,
92,3,Fort De Soto East Beach,27.624233,-82.707601,4/25/13,12:05:00 PM,14,Montgomery,,CLEAR,PARK,11.7,26.1,7.7,8.3,28.7,32.3,32.4,,,,9,7,SE
93,1,Coquina Bayside,27.448247,-82.68879,4/30/13,12:50:00 PM,47,Haile Middle School,,PARTLY CLOUDY,PARK,8.5,27.5,13.6,8.39,28.4,33.1,32.3,,,,25,2.2,
94,5,Sweetwater Organic Farm,27.999183,-82.560341,5/1/13,10:45:00 AM,15,Terrace Community Middle School,,RAIN,AGRICULTURAL,2,23.6,,7.37,25.3,0.2,3.2,,,,0,,
95,3,Fort De Soto East Beach,27.624233,-82.707601,5/2/13,2:00:00 PM,16,First Academy,,PARTLY CLOUDY,PARK,,26.3,8.4,8.2,28.3,31.6,52.6,,,,18,,
96,3,Fort De Soto East Beach,27.624233,-82.707601,5/14/13,10:15:00 AM,18,Saint Cecelia Interparochial School,,CLEAR,PARK,22,23.5,7.8,8.49,24,31.6,35,5.5,,,18,12,NNE
97,3,Fort De Soto East Beach,27.624233,-82.707601,5/14/13,11:00:00 AM,18,Saint Cecelia Interparochial School,,CLEAR,PARK,9.6,23.1,7.7,8.8,25,32.5,36.3,2,,,13,12,NNE
98,3,Fort De Soto East Beach,27.624233,-82.707601,5/16/13,11:00:00 AM,19,Plato Academy Seminole,,CLEAR,PARK,92,26.6,7.7,8.5,26.6,32.2,36.1,,,,22,5,SSE
99,3,Fort De Soto East Beach,27.624233,-82.707601,5/16/13,12:26:00 PM,19,Plato Academy Seminole,,CLEAR,PARK,29.2,27.1,9.17,8.28,27.7,32.6,27.3,2.5,,,15,4,
100,3,Fort De Soto East Beach,27.624233,-82.707601,5/20/13,10:45:00 AM,3,WS HAB,,PARTLY CLOUDY,PARK,31.1,28.3,7.1,8.4,31,32.6,63.5,2,,,24,6,
101,3,Fort De Soto East Beach,27.624233,-82.707601,5/23/13,2:10:00 PM,22,Learning Gate Community School,,CLEAR,PARK,8.8,30.1,9.4,8.71,31.2,32.9,36.7,3.5,,,13,7,SSE
102,3,Fort De Soto East Beach,27.624233,-82.707601,5/24/13,11:30:00 AM,22,Learning Gate Community School,,CLEAR,PARK,,29.3,8,8.51,30.1,33,41,3,,,18,7,
103,3,Fort De Soto East Beach,27.624233,-82.707601,5/24/13,12:20:00 PM,22,Learning Gate Community School,,CLEAR,PARK,42.5,29.6,7.9,8.53,31,33.1,41,1.5,,,11,5,W
104,8,Honeymoon Island,28.066031,-82.833211,5/28/13,12:35:00 PM,23,Academie Da Vinci,,CLEAR,PARK,53.5,27.5,10.1,8.1,29.1,34.3,35.2,6,,,3,14,ESE
105,1,Coquina Bayside,27.448247,-82.68879,5/29/13,11:05:00 AM,118,Abel Elementary School,,PARTLY CLOUDY,PARK,11.6,24,8.8,8.54,24.7,34.3,18.1,58.5,,,23,15,ESE
106,2,Fort De Soto North Beach,27.635809,-82.738715,5/31/13,10:50:00 AM,3,WS HAB,,CLOUDY,PARK,40,27.9,9.1,8.56,30.6,31.2,22,2,,,25,12,E
107,2,Fort De Soto North Beach,27.635809,-82.738715,6/3/13,10:00:00 AM,24,Plato Academy Largo,,,PARK,,,,,,,,8,,,12,,
108,2,Fort De Soto North Beach,27.635809,-82.738715,6/4/13,10:00:00 AM,4,WS SIM,,,PARK,,,,,,,,2,,,15,,
109,2,Fort De Soto North Beach,27.635809,-82.738715,6/8/13,12:30:00 PM,34,Family Fun Day,,PARTLY CLOUDY,PARK,32,30.6,8.6,8.54,30.1,31.1,12.7,6,,,19,10,SE
110,3,Fort De Soto East Beach,27.624233,-82.707601,6/10/13,2:00:00 PM,4,WS SIM,,PARTLY CLOUDY,PARK,16,29.5,8.7,8.6,32,33.6,15.6,5,,,18,5,SE
111,3,Fort De Soto East Beach,27.624233,-82.707601,6/11/13,11:00:00 AM,3,WS HAB,,CLEAR,PARK,9,29.8,8.4,8.4,33.9,31.1,16,3,,,16,0,
112,3,Fort De Soto East Beach,27.624233,-82.707601,6/12/13,11:00:00 AM,3,WS HAB,,CLEAR,PARK,26,29.7,7.77,8.41,31.3,31.2,33.4,6.5,,,21,3,
113,3,Fort De Soto East Beach,27.624233,-82.707601,6/17/13,1:45:00 PM,4,WS SIM,,CLEAR,PARK,18.7,31.3,6.2,8.64,37.9,30.1,21.3,,,,18,0,
114,1,Coquina Bayside,27.448247,-82.68879,6/18/13,11:00:00 AM,2,Migrant Head Start,,PARTLY CLOUDY,PARK,14.3,30,10.3,8.51,30,32.6,16.1,15,,,12,3,SE
115,1,Coquina Bayside,27.448247,-82.68879,6/18/13,10:30:00 AM,2,Migrant Head Start,,PARTLY CLOUDY,PARK,11.4,30.6,11.7,8.59,30.3,32.5,14.5,2,,,15,3,SE
116,1,Coquina Bayside,27.448247,-82.68879,6/20/13,10:30:00 AM,2,Migrant Head Start,,PARTLY CLOUDY,PARK,30.3,31.1,10.6,8.05,29.8,32,52.5,20,,,15,4,SE
117,3,Fort De Soto East Beach,27.624233,-82.707601,6/25/13,1:30:00 PM,4,WS SIM,,CLEAR,PARK,22,31.5,15.6,8.6,35.4,30.3,14.1,4.5,,,15,3,SE
118,3,Fort De Soto East Beach,27.624233,-82.707601,6/26/13,11:20:00 AM,3,WS HAB,,PARTLY CLOUDY,PARK,50.3,30.2,9.1,8.18,31.6,28.3,27.8,5,,,16,6,SE
119,1,Coquina Bayside,27.448247,-82.68879,8/26/13,2:00:00 PM,6,Christian Home Educator's Fellowship,,PARTLY CLOUDY,PARK,20.7,32.7,15.3,,29.9,29.3,53.5,59,,,28,5,NNW
120,1,Coquina Bayside,27.448247,-82.68879,9/10/13,12:30:00 PM,118,Abel Elementary School,,CLEAR,PARK,16.5,,,,28,29.8,,51,,,16,0,
121,1,Coquina Bayside,27.448247,-82.68879,9/10/13,10:30:00 AM,118,Abel Elementary School,,CLEAR,PARK,11.8,,13.9,8.85,28,28.6,43.4,,,,13,0,
122,1,Coquina Bayside,27.448247,-82.68879,9/11/13,12:30:00 PM,118,Abel Elementary School,,PARTLY CLOUDY,PARK,10.7,28.1,10.4,8.79,31,31.4,8,20,,,20,15,SW
123,1,Coquina Bayside,27.448247,-82.68879,9/11/13,10:28:00 AM,118,Abel Elementary School,,PARTLY CLOUDY,PARK,28,28.6,11.9,8.83,28,31.5,10.3,19,,,17,15,SW
124,1,Coquina Bayside,27.448247,-82.68879,9/12/13,10:30:00 AM,118,Abel Elementary School,,CLEAR,PARK,1.4,30.7,8,8.58,29.5,31.6,74.2,7,,,16,0,
125,1,Coquina Bayside,27.448247,-82.68879,9/12/13,12:40:00 PM,118,Abel Elementary School,,CLEAR,PARK,18,34.4,14.7,,31.1,30,74.1,7,,,23,0,
126,1,Coquina Bayside,27.448247,-82.68879,9/13/13,10:00:00 AM,118,Abel Elementary School,,CLEAR,PARK,,29.5,7.6,8.57,28.6,32.3,1.1,4,,,19,0,
127,1,Coquina Bayside,27.448247,-82.68879,9/13/13,12:30:00 PM,118,Abel Elementary School,,CLEAR,PARK,,28.9,7.2,8.58,29.8,32.6,1.1,4,,,27,0,
128,1,Coquina Bayside,27.448247,-82.68879,9/16/13,10:15:00 AM,118,Abel Elementary School,,CLEAR,PARK,27.2,28.3,5.9,8.8,29.4,32,,4,,,24,10,NE
129,1,Coquina Bayside,27.448247,-82.68879,9/16/13,12:50:00 PM,118,Abel Elementary School,,PARTLY CLOUDY,PARK,6.6,28.3,5.5,8.17,30,32.2,,4,,,19,10,
130,1,Coquina Bayside,27.448247,-82.68879,9/17/13,10:15:00 AM,118,Abel Elementary School,,CLEAR,PARK,6.5,27,6.9,8.17,28.5,31.8,47.1,2,,,13,10,NE
131,1,Coquina Bayside,27.448247,-82.68879,9/17/13,12:40:00 PM,118,Abel Elementary School,,CLEAR,PARK,,27.5,6.7,8.1,29,31.4,31.1,1,,,11,10,NE
132,1,Coquina Bayside,27.448247,-82.68879,9/18/13,10:00:00 AM,118,Abel Elementary School,,CLEAR,PARK,,28.2,6.8,8.13,27.2,31.7,46.7,6,,,16,10,SE
133,1,Coquina Bayside,27.448247,-82.68879,9/18/13,12:40:00 PM,118,Abel Elementary School,,CLEAR,PARK,,28.9,8,7.38,28.9,31.5,59,7,,,16,10,SE
134,1,Coquina Bayside,27.448247,-82.68879,9/19/13,10:20:00 AM,118,Abel Elementary School,,CLOUDY,PARK,5.5,26.2,7.8,8.34,27.1,30.6,41,6,,,12,6,E
135,1,Coquina Bayside,27.448247,-82.68879,9/19/13,12:30:00 PM,118,Abel Elementary School,,CLOUDY,PARK,,27.8,8.38,8.5,29.5,30.7,47.4,11,,,16,6,E
136,2,Fort De Soto North Beach,27.635809,-82.738715,9/20/13,1:15:00 PM,5,Real Life Christian Academy,,CLEAR,PARK,,29.5,7.3,8.32,31.4,28,55.7,14,,,12,2,E
137,2,Fort De Soto North Beach,27.635809,-82.738715,10/8/13,11:30:00 AM,5006,Skyview Elementary School,,CLEAR,PARK,23.7,29.5,8.8,8.67,28.7,28.1,43,2,,,15,15.2,E
138,2,Fort De Soto North Beach,27.635809,-82.738715,10/8/13,12:40:00 PM,5006,Skyview Elementary School,,CLEAR,PARK,13.5,28.3,7.8,8.42,29.5,27.5,47.1,8,,,12,15,
139,9,Palma Sola Elementary,27.504131,-82.63107,10/8/13,9:00:00 AM,160,Palma Sola Elementary,,,,,,,,,,,10,CIGARETTE BUTTS,,,,
140,2,Fort De Soto North Beach,27.635809,-82.738715,10/9/13,12:30:00 PM,25,Lighthouse Center for Creative Learning,,CLOUDY,PARK,27.3,27.7,6.3,8.4,27.3,28.6,42.2,7.5,,,22,15,NW
141,2,Fort De Soto North Beach,27.635809,-82.738715,10/10/13,11:30:00 AM,5006,Skyview Elementary School,,CLEAR,PARK,4.7,24.7,7.2,8.57,25.5,28.9,42.2,2,,,23,15,ENE
142,2,Fort De Soto North Beach,27.635809,-82.738715,10/10/13,12:45:00 PM,5006,Skyview Elementary School,,CLEAR,PARK,,24.9,7.9,,26,29.7,53.4,1.5,,,17,5,
143,5,Sweetwater Organic Farm,27.999183,-82.560341,10/14/13,1:30:00 PM,7,St. Stephen's Episcopal School,,CLEAR,AGRICULTURAL,32,22.8,1.9,6.6,24.4,0.2,1.3,,,,,0,
